,NOx,SO2,NMVOC,NH3,CO,TSP,PM 10,PM 2.5,BC,Energy Industries,Manufacturing Industries and Construction,Transport,Other Sectors,Other (military),Solid Fuels,Oil and Natural Gas,Mineral Industry,Chemical Industry,Metal Industry,Non-Energy Products from Fuels,Other Product Manufacture and Use,"Other (Pulp & Paper, Food)",Wood Processing,Handling of Bulk Products,Manure Management,Agricultural Soils,Other,Solid Waste Disposal,Biological Treatment of Solid Waste,Waste Incineration,Wastewater Treatment and Discharge
NOx,1.0,,,,,,,,,237.6,88.7,484.3,119.5,3.7,0.7,1.1,29.6,29.8,21.6,0.6,0.2,3.0,,,1.4,110.7,0.2,,,0.8,
SO2,,1.0,,,,,,,,141.1,33.2,2.2,12.7,0.0,0.8,5.2,18.3,10.9,36.8,1.2,0.1,0.6,,,,,,,,0.1,
NMVOC,,,1.0,,,,,,,8.4,9.3,91.7,60.2,1.4,3.3,40.2,2.4,4.7,4.9,547.3,1.1,19.0,4.0,,295.8,8.6,,3.8,,14.8,0.2
NH3,,,,1.0,,,,,,1.3,0.5,10.0,2.0,0.0,0.0,,1.8,8.9,0.1,,0.6,,,,243.3,311.3,3.2,,3.5,,
CO,,,,,1.0,,,,,107.4,319.4,961.3,653.8,12.3,4.7,0.6,,0.8,789.2,,13.3,,,,,,,,,18.4,
TSP,,,,,,1.0,,,,5.8,3.5,51.2,24.8,0.1,12.2,0.0,84.6,2.3,8.0,0.2,4.7,1.0,1.4,110.6,42.9,17.4,3.4,0.0,,5.4,
PM 10,,,,,,,1.0,,,5.3,3.3,38.7,24.3,0.1,3.6,0.0,28.5,0.4,4.7,0.2,4.7,0.4,1.0,51.0,13.0,17.4,3.4,0.0,,3.5,
PM 2.5,,,,,,,,1.0,,4.8,3.0,24.3,23.2,0.1,0.7,0.0,5.4,0.3,2.8,0.1,4.3,0.2,0.7,11.3,3.7,0.7,3.4,0.0,,2.8,
BC,,,,,,,,,1.0,0.1,0.8,5.9,4.3,0.0,0.0,0.0,,0.0,,,0.0,,,,,,0.3,,,0.3,
Energy Industries,237.6,141.1,8.4,1.3,107.4,5.8,5.3,4.8,0.1,1.0,,,,,,,,,,,,,,,,,,,,,
Manufacturing Industries and Construction,88.7,33.2,9.3,0.5,319.4,3.5,3.3,3.0,0.8,,1.0,,,,,,,,,,,,,,,,,,,,
Transport,484.3,2.2,91.7,10.0,961.3,51.2,38.7,24.3,5.9,,,1.0,,,,,,,,,,,,,,,,,,,
Other Sectors,119.5,12.7,60.2,2.0,653.8,24.8,24.3,23.2,4.3,,,,1.0,,,,,,,,,,,,,,,,,,
Other (military),3.7,0.0,1.4,0.0,12.3,0.1,0.1,0.1,0.0,,,,,1.0,,,,,,,,,,,,,,,,,
Solid Fuels,0.7,0.8,3.3,0.0,4.7,12.2,3.6,0.7,0.0,,,,,,1.0,,,,,,,,,,,,,,,,
Oil and Natural Gas,1.1,5.2,40.2,,0.6,0.0,0.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
Mineral Industry,29.6,18.3,2.4,1.8,,84.6,28.5,5.4,,,,,,,,,1.0,,,,,,,,,,,,,,
Chemical Industry,29.8,10.9,4.7,8.9,0.8,2.3,0.4,0.3,0.0,,,,,,,,,1.0,,,,,,,,,,,,,
Metal Industry,21.6,36.8,4.9,0.1,789.2,8.0,4.7,2.8,,,,,,,,,,,1.0,,,,,,,,,,,,
Non-Energy Products from Fuels,0.6,1.2,547.3,,,0.2,0.2,0.1,,,,,,,,,,,,1.0,,,,,,,,,,,
Other Product Manufacture and Use,0.2,0.1,1.1,0.6,13.3,4.7,4.7,4.3,0.0,,,,,,,,,,,,1.0,,,,,,,,,,
"Other (Pulp & Paper, Food)",3.0,0.6,19.0,,,1.0,0.4,0.2,,,,,,,,,,,,,,1.0,,,,,,,,,
Wood Processing,,,4.0,,,1.4,1.0,0.7,,,,,,,,,,,,,,,1.0,,,,,,,,
Handling of Bulk Products,,,,,,110.6,51.0,11.3,,,,,,,,,,,,,,,,1.0,,,,,,,
Manure Management,1.4,,295.8,243.3,,42.9,13.0,3.7,,,,,,,,,,,,,,,,,1.0,,,,,,
Agricultural Soils,110.7,,8.6,311.3,,17.4,17.4,0.7,,,,,,,,,,,,,,,,,,1.0,,,,,
Other,0.2,,,3.2,,3.4,3.4,3.4,0.3,,,,,,,,,,,,,,,,,,1.0,,,,
Solid Waste Disposal,,,3.8,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,
Biological Treatment of Solid Waste,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Waste Incineration,0.8,0.1,14.8,,18.4,5.4,3.5,2.8,0.3,,,,,,,,,,,,,,,,,,,,,1.0,
Wastewater Treatment and Discharge,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
