,Source,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Pollutant,Group
0,Energy Industries,608.43,337.45,272.71,288.33,295.92,298.55,314.23,314.62,302.18,296.48,292.46,278.45,270.95,237.58,NOx,Energy
1,Energy Industries,3135.5,1211.31,337.19,253.25,229.6,227.84,232.41,227.36,209.55,197.4,179.68,171.47,165.27,141.09,SO2,Energy
2,Energy Industries,8.55,9.56,8.85,10.33,10.87,10.84,11.47,11.34,10.76,10.57,10.26,9.55,9.35,8.38,NMVOC,Energy
3,Energy Industries,2.06,2.34,1.54,1.57,1.37,1.39,1.41,1.4,1.36,1.34,1.43,1.29,1.31,1.26,NH3,Energy
4,Energy Industries,236.4,129.65,114.55,108.49,122.98,126.12,137.09,133.68,128.53,126.29,122.94,120.55,119.03,107.36,CO,Energy
5,Energy Industries,588.08,24.76,14.57,13.75,9.88,9.28,9.15,8.56,8.07,7.76,7.38,7.03,6.69,5.76,TSP,Energy
6,Energy Industries,,22.32,13.1,12.39,8.91,8.38,8.29,7.76,7.33,7.04,6.7,6.39,6.08,5.26,PM 10,Energy
7,Energy Industries,,19.71,11.6,10.98,8.02,7.57,7.51,7.05,6.66,6.4,6.11,5.84,5.56,4.83,PM 2.5,Energy
8,Energy Industries,,,0.38,0.36,0.26,0.24,0.21,0.2,0.24,0.11,0.11,0.11,0.09,0.09,BC,Energy
9,Manufacturing Industries and Construction,310.2,183.92,137.27,111.19,111.31,105.41,97.72,92.53,91.75,91.94,95.39,95.01,89.47,88.66,NOx,Energy
10,Manufacturing Industries and Construction,906.9,159.48,58.83,39.98,35.43,30.93,26.75,26.04,26.97,37.44,37.03,35.14,32.65,33.18,SO2,Energy
11,Manufacturing Industries and Construction,16.89,14.79,11.87,10.67,9.98,10.11,8.79,8.41,8.42,10.16,10.59,10.34,9.64,9.34,NMVOC,Energy
12,Manufacturing Industries and Construction,1.35,0.78,0.42,0.34,0.51,0.58,0.5,0.45,0.46,0.53,0.55,0.52,0.53,0.46,NH3,Energy
13,Manufacturing Industries and Construction,391.56,374.78,326.33,331.28,324.41,338.16,256.68,247.56,257.64,352.05,345.67,351.89,326.68,319.39,CO,Energy
14,Manufacturing Industries and Construction,230.0,10.39,6.79,5.59,4.25,4.32,4.21,3.95,3.94,4.07,4.15,3.9,3.63,3.52,TSP,Energy
15,Manufacturing Industries and Construction,,9.9,6.54,5.25,4.01,4.06,3.95,3.71,3.7,3.81,3.88,3.65,3.39,3.28,PM 10,Energy
16,Manufacturing Industries and Construction,,9.33,6.21,4.87,3.76,3.79,3.68,3.46,3.45,3.55,3.6,3.39,3.13,3.03,PM 2.5,Energy
17,Manufacturing Industries and Construction,,,2.43,1.52,1.2,1.17,1.1,1.06,1.04,1.04,0.99,0.94,0.81,0.75,BC,Energy
18,Transport,1425.63,1255.82,1080.12,865.09,706.15,692.88,675.08,673.64,653.12,628.58,607.65,575.74,520.59,484.34,NOx,Energy
19,Transport,105.2,88.51,35.46,13.59,5.7,5.1,5.28,5.22,5.12,2.11,2.27,2.27,2.3,2.25,SO2,Energy
20,Transport,1487.88,688.73,351.43,205.34,126.61,120.7,110.49,106.85,103.9,99.86,97.52,95.8,90.26,91.7,NMVOC,Energy
21,Transport,7.66,22.48,32.83,23.69,15.5,14.71,13.17,12.39,11.78,11.14,10.83,10.69,10.12,10.0,NH3,Energy
22,Transport,7395.36,4243.86,2527.22,1621.88,1218.5,1210.47,1138.94,1126.66,1115.01,1081.24,1054.26,1035.54,976.11,961.26,CO,Energy
23,Transport,100.31,100.62,89.01,75.36,59.43,58.37,56.71,55.4,55.17,53.8,53.22,52.32,51.56,51.24,TSP,Energy
24,Transport,,90.69,78.08,64.32,48.03,46.76,45.12,43.72,43.29,41.74,41.0,39.96,39.13,38.71,PM 10,Energy
25,Transport,,77.82,64.44,50.86,34.71,33.29,31.58,30.29,29.42,27.69,26.86,25.81,24.83,24.28,PM 2.5,Energy
26,Transport,,,28.43,23.2,14.35,13.26,11.94,11.02,10.01,9.01,8.21,7.4,6.5,5.93,BC,Energy
27,Other Sectors,205.54,179.28,160.23,139.97,140.85,126.89,128.78,134.67,119.81,123.76,123.31,123.12,117.76,119.51,NOx,Energy
28,Other Sectors,1025.49,205.67,102.34,68.98,48.62,38.64,24.77,20.01,18.01,20.3,16.5,16.09,15.59,12.74,SO2,Energy
29,Other Sectors,267.14,114.95,96.45,70.56,82.77,76.09,71.64,70.3,58.75,64.07,60.59,60.95,60.62,60.21,NMVOC,Energy
30,Other Sectors,3.52,3.71,3.09,2.83,2.48,2.1,2.25,2.43,2.06,2.05,2.02,2.0,1.79,2.05,NH3,Energy
31,Other Sectors,3576.51,1254.19,1074.8,858.24,1082.69,1002.69,925.14,890.16,717.72,755.56,690.03,684.81,675.9,653.82,CO,Energy
32,Other Sectors,313.48,43.88,35.45,30.18,39.26,34.38,35.52,35.83,28.34,29.06,26.83,26.46,25.61,24.83,TSP,Energy
33,Other Sectors,,42.96,34.54,29.54,38.38,33.62,34.77,35.07,27.75,28.43,26.25,25.9,25.06,24.31,PM 10,Energy
34,Other Sectors,,40.91,32.77,28.24,36.51,32.01,33.15,33.4,26.46,27.05,24.99,24.66,23.85,23.15,PM 2.5,Energy
35,Other Sectors,,,6.97,5.61,6.22,5.59,5.67,5.75,4.96,5.02,4.82,4.74,4.41,4.28,BC,Energy
36,Other (military),47.09,22.95,10.46,10.98,6.47,5.91,5.43,5.1,5.0,4.62,4.54,3.61,3.12,3.74,NOx,Energy
37,Other (military),69.38,2.73,0.98,0.38,0.13,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,SO2,Energy
38,Other (military),198.84,7.99,4.19,3.78,2.54,2.46,2.08,2.05,2.01,1.9,1.79,1.32,1.17,1.4,NMVOC,Energy
39,Other (military),0.37,0.16,0.09,0.06,0.05,0.04,0.03,0.03,0.04,0.04,0.03,0.02,0.02,0.03,NH3,Energy
40,Other (military),333.15,58.39,36.09,30.47,22.65,22.34,19.07,19.15,18.17,16.91,15.7,12.46,11.47,12.27,CO,Energy
41,Other (military),24.8,1.46,0.42,0.46,0.18,0.15,0.16,0.14,0.16,0.16,0.16,0.12,0.1,0.13,TSP,Energy
42,Other (military),,1.43,0.42,0.46,0.18,0.15,0.16,0.14,0.16,0.15,0.16,0.12,0.1,0.13,PM 10,Energy
43,Other (military),,1.39,0.41,0.46,0.18,0.15,0.16,0.14,0.16,0.15,0.16,0.12,0.1,0.13,PM 2.5,Energy
44,Other (military),,,0.16,0.21,0.08,0.07,0.07,0.06,0.07,0.07,0.07,0.05,0.04,0.05,BC,Energy
45,Solid Fuels,0.67,0.59,0.64,0.63,0.71,0.78,0.66,0.69,0.71,0.75,0.66,0.63,0.65,0.67,NOx,Energy
46,Solid Fuels,38.19,1.47,1.25,1.11,1.0,1.03,0.95,0.87,0.99,0.94,0.81,0.79,0.81,0.8,SO2,Energy
47,Solid Fuels,8.18,3.76,3.46,3.04,3.43,3.76,3.15,3.66,3.7,3.65,3.45,3.19,3.33,3.27,NMVOC,Energy
48,Solid Fuels,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NH3,Energy
49,Solid Fuels,4.12,3.28,4.01,4.06,4.91,5.54,4.42,5.35,5.35,5.25,4.79,4.32,4.57,4.71,CO,Energy
50,Solid Fuels,150.22,17.05,14.92,14.76,14.77,15.85,15.05,15.81,15.56,15.4,14.49,14.0,13.98,12.23,TSP,Energy
