,year,pollutant,amount
0,1990,NOx,2850.050251032437
1,1990,NMVOC,3890.8484992401354
2,1990,SO2,5474.423451770937
3,1990,NH3,715.0857150115454
4,1990,PM2.5,0.0
5,1990,PM10,0.0
6,1990,TSP,2050.5193548008856
7,1990,BC,0.0
8,1990,CO,13171.060551360766
9,1991,NOx,2626.713784376112
10,1991,NMVOC,3379.1147126895485
11,1991,SO2,3976.3277106931782
12,1991,NH3,637.3816476038678
13,1991,PM2.5,0.0
14,1991,PM10,0.0
15,1991,TSP,1253.2020984241644
16,1991,BC,0.0
17,1991,CO,10911.700795665392
18,1992,NOx,2479.7191417362237
19,1992,NMVOC,3065.3567939273785
20,1992,SO2,3247.359384568035
21,1992,NH3,635.8671529201802
22,1992,PM2.5,0.0
23,1992,PM10,0.0
24,1992,TSP,935.9930917382646
25,1992,BC,0.0
26,1992,CO,9440.018038697586
27,1993,NOx,2379.3673921166856
28,1993,NMVOC,2882.9944104119672
29,1993,SO2,2911.382326661921
30,1993,NH3,629.4842423963169
31,1993,PM2.5,0.0
32,1993,PM10,0.0
33,1993,TSP,774.3553333400409
34,1993,BC,0.0
35,1993,CO,8556.327605767134
36,1994,NOx,2252.4417210102283
37,1994,NMVOC,2468.1383031732366
38,1994,SO2,2425.365289268536
39,1994,NH3,609.8636210786057
40,1994,PM2.5,0.0
41,1994,PM10,0.0
42,1994,TSP,664.6831926776201
43,1994,BC,0.0
44,1994,CO,7568.676681178137
45,1995,NOx,2195.589643086177
46,1995,NMVOC,2340.452687647478
47,1995,SO2,1751.4579349998876
48,1995,NH3,612.7568798355898
49,1995,PM2.5,205.6465816118932
50,1995,PM10,346.1794685861466
51,1995,TSP,577.3951399236914
52,1995,BC,0.0
53,1995,CO,7169.163589865919
54,1996,NOx,2113.645852277987
55,1996,NMVOC,2243.1297303483148
56,1996,SO2,1484.166850844863
57,1996,NH3,622.6572540336755
58,1996,PM2.5,193.7630135620301
59,1996,PM10,330.1538484157033
60,1996,TSP,555.6724175765381
61,1996,BC,0.0
62,1996,CO,6611.983778244961
63,1997,NOx,2040.1926087980942
64,1997,NMVOC,2188.303564617955
65,1997,SO2,1233.552986158485
66,1997,NH3,615.7720113956673
67,1997,PM2.5,192.8079348423211
68,1997,PM10,335.136080028261
69,1997,TSP,573.2896097618196
70,1997,BC,0.0
71,1997,CO,6373.4613956321
72,1998,NOx,2013.68962932927
73,1998,NMVOC,2131.3417912547357
74,1998,SO2,987.0791631999838
75,1998,NH3,624.3588947942712
76,1998,PM2.5,182.99066051468688
77,1998,PM10,323.54546421386954
78,1998,TSP,560.6073688204499
79,1998,BC,0.0
80,1998,CO,5856.716027192664
81,1999,NOx,1980.152504212833
82,1999,NMVOC,1969.2364620195779
83,1999,SO2,806.528901482517
84,1999,NH3,622.2763473002396
85,1999,PM2.5,177.8436348305579
86,1999,PM10,317.5773870084527
87,1999,TSP,553.9445659924653
88,1999,BC,0.0
89,1999,CO,5448.356565443622
90,2000,NOx,1904.662149297106
91,2000,NMVOC,1803.9953463501702
92,2000,SO2,650.7560204260873
93,2000,NH3,626.8824182723757
94,2000,PM2.5,168.8845420006551
95,2000,PM10,302.6775214789345
96,2000,TSP,531.2032774753621
97,2000,BC,39.081402376750184
98,2000,CO,5134.942199207351
99,2001,NOx,1847.6734727417545
100,2001,NMVOC,1709.0790671158509
101,2001,SO2,629.5680121439982
102,2001,NH3,631.4956678822452
103,2001,PM2.5,162.56355733579426
104,2001,PM10,287.62193530762835
105,2001,TSP,496.32219440491843
106,2001,BC,37.27517417270611
107,2001,CO,4938.411378647795
108,2002,NOx,1786.2295758618554
109,2002,NMVOC,1617.6036786097743
110,2002,SO2,566.4397439586764
111,2002,NH3,618.9590380528425
112,2002,PM2.5,156.00293057808554
113,2002,PM10,280.33115765005454
114,2002,TSP,490.82129200932326
115,2002,BC,35.76615727149052
116,2002,CO,4639.268902117446
117,2003,NOx,1740.5991264373888
118,2003,NMVOC,1536.5273936145857
119,2003,SO2,539.0486654765704
120,2003,NH3,616.0054945473829
121,2003,PM2.5,149.61511202764453
122,2003,PM10,266.50662452276924
123,2003,TSP,461.9230230847662
124,2003,BC,33.51492791134732
125,2003,CO,4390.244093098985
126,2004,NOx,1693.3702926867536
127,2004,NMVOC,1533.4412759420316
128,2004,SO2,497.59060771442745
129,2004,NH3,600.8737847389818
130,2004,PM2.5,143.97761877488438
131,2004,PM10,258.3485864448604
132,2004,TSP,447.79583325116704
133,2004,BC,32.86987169569229
134,2004,CO,4142.960512759501
135,2005,NOx,1642.1718320573152
136,2005,NMVOC,1486.2995001929066
137,2005,SO2,477.4780173214081
138,2005,NH3,607.1505044757463
139,2005,PM2.5,137.502867546017
140,2005,PM10,247.94425478707097
141,2005,TSP,431.43559438142955
142,2005,BC,31.54282864121097
143,2005,CO,3915.5521742710507
144,2006,NOx,1652.4839703820687
145,2006,NMVOC,1482.702316353636
146,2006,SO2,475.84307965853077
147,2006,NH3,602.6320603510958
148,2006,PM2.5,135.4617085489054
149,2006,PM10,245.9355653639199
150,2006,TSP,426.56844734369304
151,2006,BC,30.354034490387203
152,2006,CO,3898.7214219378257
153,2007,NOx,1607.882557128779
154,2007,NMVOC,1420.6153448112166
155,2007,SO2,459.11550518559557
156,2007,NH3,610.3525078799338
157,2007,PM2.5,129.96516580474912
158,2007,PM10,236.99609672136526
159,2007,TSP,409.89216132086875
160,2007,BC,28.37566531697237
161,2007,CO,3860.9814099473206
162,2008,NOx,1544.866257527613
163,2008,NMVOC,1358.638124530751
164,2008,SO2,453.94220916981914
165,2008,NH3,614.3103036680272
166,2008,PM2.5,126.10303222399821
167,2008,PM10,234.0558222518239
168,2008,TSP,408.22056508723165
169,2008,BC,25.995445228148807
170,2008,CO,3851.8344811618426
171,2009,NOx,1454.9720311872709
172,2009,NMVOC,1244.9588822058015
173,2009,SO2,395.72102813822846
174,2009,NH3,616.7099717450601
175,2009,PM2.5,114.41511414933139
176,2009,PM10,216.86683156399343
177,2009,TSP,383.9276419007296
178,2009,BC,23.568819459165987
179,2009,CO,3293.8666754671485
180,2010,NOx,1470.9746208280199
181,2010,NMVOC,1361.419894803038
182,2010,SO2,405.4086346948275
