,Energy,Industry,Agriculture,Waste,valueColumn
NOx,141.27,2605.47,106.37,0.53,1990
SO2,0.0,5298.1,176.38,0.11,1990
NMVOC,398.49,2170.9500000000003,1283.32,38.45,1990
NH3,681.5799999999999,15.56,17.81,0.16,1990
CO,0.0,11967.05,1211.81,25.04,1990
TSP,67.48,1406.96,565.44,10.7,1990
PM 10,0.0,0.0,0.0,0.0,1990
PM 2.5,0.0,0.0,0.0,0.0,1990
BC,0.0,0.0,0.0,0.0,1990
NOx,115.78,1984.5099999999998,97.29,0.63,1995
SO2,0.0,1680.48,70.92,0.12,1995
NMVOC,340.37,964.4300000000001,997.2299999999999,38.52,1995
NH3,569.37,29.470000000000002,12.78,1.15,1995
CO,0.0,6066.1,1091.1299999999999,24.07,1995
TSP,58.24,198.23000000000002,310.54,10.42,1995
PM 10,28.71,173.48,136.10999999999999,7.919999999999999,1995
PM 2.5,5.09,150.60999999999999,42.91,7.06,1995
BC,0.0,0.0,0.0,0.0,1995
NOx,122.44,1664.57,119.4,0.63,2000
SO2,0.0,545.47,105.24,0.12,2000
NMVOC,326.8,561.1600000000001,883.4900000000001,32.74,2000
NH3,573.1,37.97,13.58,2.26,2000
CO,0.0,4084.43,1039.7,23.08,2000
TSP,59.11,161.23000000000002,300.82,10.11,2000
PM 10,29.300000000000004,137.73,127.98,7.709999999999999,2000
PM 2.5,4.819999999999999,116.55,40.650000000000006,6.9,2000
BC,0.0,38.43,0.01,0.65,2000
NOx,117.21,1417.8,106.71,0.64,2005
SO2,0.0,384.26,93.08,0.12,2005
NMVOC,306.82,357.9,793.5500000000001,28.07,2005
NH3,563.0,28.490000000000002,13.0,2.66,2005
CO,0.0,2955.38,943.35,22.09,2005
TSP,58.269999999999996,140.14000000000001,223.6,9.469999999999999,2005
PM 10,29.3,117.05,94.46000000000001,7.18,2005
PM 2.5,4.54,96.47,30.11,6.41,2005
BC,0.0,30.93,0.01,0.61,2005
NOx,115.81,1262.65,91.33,0.68,2010
SO2,0.0,326.06,79.15,0.12,2010
NMVOC,306.32,280.55,750.7099999999999,23.86,2010
NH3,583.99,19.91,12.14,2.85,2010
CO,0.0,2776.8700000000003,823.0300000000001,21.11,2010
TSP,58.120000000000005,127.79,200.49,9.209999999999999,2010
PM 10,30.12,104.24000000000001,86.41,7.02,2010
PM 2.5,4.54,84.14,24.8,6.279999999999999,2010
